order_id,customer_id,qty,unit_price,region,order_date
1001,C001,2,125.00,North,2024-01-05
1002,C002,1,89.99,South,2024-01-06
1003,C003,3,150.00,East,2024-01-07
1004,C001,4,30.13,West,2024-01-08
1005,C004,1,999.00,North,2024-01-09
1006,C002,2,30.00, south ,2024-01-10
1007,C005,5,60.15,East,2024-01-11
1008,C003,2,90.00,West,2024-01-12
1009,C006,3,180.08,North,2024-01-13
1010,C007,1,75.00, WEST ,2024-01-14
1011,C001,2,110.00,South,2024-01-15
1012,C008,3,143.33,East,2024-01-16
1013,C001,1,100.00,North,2024-01-17
